FacilityID,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,LastUpdatedDate
232446,RV,Overnight,C ,False,-119.683913958,37.550124511,2023-05-24
232709,RV,Overnight,REYNOLDS CREEK ,False,-97.264983,31.586164,2022-09-14
250877,Shelter,Overnight,Standard Site,False,-115.38476,36.13011,2020-10-15
252470,Tent,Overnight,Dundo Group Campground,False,-78.717593177,38.2352166640001,2022-06-29
10001451,Tent,Overnight,Main Loop,False,-93.345717,36.040823,2021-04-24
259242,Tent,Overnight,Generator,False,0.0,0.0,2023-09-22
233478,Shelter,Day,DAM EAST SPILLWAY,False,-89.3544,38.616093,2022-06-29
10003508,Shelter,Day,A,False,-85.181022,32.917917,2021-02-05
261696,RV,Overnight,A,False,-111.990061,46.993093,2021-07-11
258887,RV,Overnight,Mather,False,0.0,0.0,2020-10-15
264411,Cabin,Overnight,Cabin,False,-109.858197,43.312133,2021-03-30
10004152,Tent,Overnight,,False,-119.60264025,37.741599437,2023-06-29
273785,RV,Overnight,A,True,-116.081203,47.267952,2021-09-16
273308,Shelter,Day,Picnic Area,False,-123.56927,43.9039,2023-04-26
10004589,Shelter,Day,A,False,-85.174451,32.992751,2021-05-25
10004592,Shelter,Day,A,False,-85.191762,32.917472,2021-02-11
10004594,Shelter,Day,A,False,-85.177324,33.028136,2021-05-25
10004596,Shelter,Day,A,False,-85.150565,32.959214,2021-05-25
10004598,Shelter,Day,A,False,-85.119329,33.058737,2021-05-25
10004600,Shelter,Day,A,False,-85.205619,32.991655,2021-07-20
10004602,Shelter,Day,A,False,-85.229038,32.997826,2021-05-25
10004604,Shelter,Day,A,False,-85.102748,33.075072,2021-05-25
10004657,Cabin,Overnight,,False,-70.074826,41.958112,2022-05-10
10004659,Cabin,Overnight,,False,-69.948381,41.847716,2022-05-10
10004661,Cabin,Overnight,,False,-69.978996,41.922798,2022-12-10
10004663,Cabin,Overnight,,False,-69.977201,41.926892,2020-10-15
10004665,Cabin,Overnight,,False,-69.993971,41.958068,2020-10-15
10004667,Cabin,Overnight,,False,-69.977154,41.925892,2022-05-10
233392,RV,Overnight,Point Supreme CG,False,-112.831477637,37.610919246,2021-07-20
10004919,Tent,Overnight,Glamping,False,0.0,0.0,2023-04-27
10005253,Tent,Overnight,A,False,-120.007484246871,38.477314480004,2021-07-03
10005279,Shelter,Day,,True,0.0,0.0,2020-10-15
233462,Shelter,Day,Beach Loop,False,-95.70761,38.502001,2022-06-29
10005349,Shelter,Overnight,A,True,0.0,0.0,2021-06-21
10005351,RV,Overnight,Horseshoe Loop,False,0.0,0.0,2021-08-23
10005354,Shelter,Day,,True,-83.536787,38.117106,2022-04-18
233834,Shelter,Day,,True,0.0,0.0,2020-10-15
10005358,Shelter,Day,,False,-79.3937,39.7566,2022-06-29
261822,RV,Overnight,A,False,-111.888228,46.739591,2020-10-15
10005414,Cabin,Overnight,,False,0.0,0.0,2023-08-08
234544,Tent,Overnight,AREA WILD PLUM,False,0.0,0.0,2020-10-15
10005977,Shelter,Day,,True,0.0,0.0,2023-06-07
233695,Shelter,Day,B,False,0.0,0.0,2022-05-20
10006149,Shelter,Day,Shelter,True,0.0,0.0,2022-04-18
10006204,Cabin,Overnight,,False,0.0,0.0,2020-10-15
10006206,Cabin,Overnight,,False,0.0,0.0,2021-07-06
10006208,Cabin,Overnight,,False,-154.04274,60.34805,2021-05-12
233596,Shelter,Day,Group,False,-116.892201,48.178913,2023-02-15
233600,Shelter,Day,Group,False,-116.775395,48.159246,2023-02-15
233637,Shelter,Day,Group,False,-116.586491,48.236785,2022-07-04
10007130,Cabin,Overnight,A unit,False,-77.3592668319999,38.5635965270001,2021-05-12
246027,Cabin,Overnight,,False,0.0,0.0,2020-10-15
249981,Water,Overnight,Rainy Lake,False,-93.10706452,48.60219791,2022-09-13
10007156,Shelter,Day,,True,0.0,0.0,2020-10-15
10007160,Cabin,Overnight,,False,-116.196980915198,47.8420733512787,2020-10-15
233809,Shelter,Day,Trace Branch Campground,False,-83.37033056,37.27164444,2021-06-07
10007207,Shelter,Day,,True,0.0,0.0,2022-08-15
253491,View,Overnight,GRANITE BUTTE LOOKOUT,False,-112.464766667,46.8630166667,2022-06-29
232572,Shelter,Day,DCRP,False,-85.911351,36.30303,2022-06-29
233379,Tent,Overnight,Loop A,False,-77.41519909,38.6017089060001,2021-05-12
251969,Hike,Overnight,BERMUDA CAMPSITE on GRAND ISLAND,False,-86.6461638889,46.4711194444001,2023-07-14
251544,Tent,Overnight,Marsden Tract Group Campsite,False,-77.21752001,38.976584722,2021-09-08
10009517,Picnic,Day,Box Canyon,True,-105.222866246088,41.09444384167,2020-10-15
10009675,Shelter,Day,,True,0.0,0.0,2022-06-29
232746,Shelter,Day,WBEA,True,-92.146548,34.695727,2022-07-12
257007,Shelter,Overnight,n/a,False,-109.621006,38.145151,2022-10-28
10011396,Horseback,Overnight,A,False,-82.7414021014386,35.3811441578286,2020-10-15
251963,Water,Overnight,NANCYS BOAT TO SHORE CAMPGROUND (PA),False,0.0,0.0,2022-06-29
252968,Tent,Overnight,Fifteen Mile Creek Campsite,False,-78.385331197,39.623940035,2022-06-29
251942,Hike,Overnight,BEAR LAKE CAMPGROUND,False,-88.5283033628046,45.5130174284114,2022-06-29
251833,Tent,Overnight,Group-Loop,False,-68.058301614,44.3805780060001,2023-02-22
251976,Hike,Overnight,DUCK LAKE CAMPSITE on GRAND ISLAND,False,-86.6519027777999,46.4771194444,2023-07-14
251974,Hike,Overnight,HEMLOCK CAMPSITE on GRAND ISLAND,False,-86.6822999999999,46.4957638889001,2023-09-22
252037,View,Overnight,SARDINE PEAK LOOKOUT,False,-120.187855556,39.5402138888999,2022-06-29
10028678,Hike,Overnight,Juniper Basin,False,0.0,0.0,2023-09-26
236938,Water,Overnight,,False,-121.866167720728,43.8468610442133,2020-10-15
233841,Cabin,Overnight,South,True,-91.7846334965118,47.7573254544162,2021-06-15
232430,Shelter,Day,GRP,True,0.0,0.0,2020-10-15
10028991,Shelter,Day,N/A,True,0.0,0.0,2020-10-15
237056,Water,Overnight,,False,-121.848567788734,43.84448239644,2020-10-15
10029004,Hike,Overnight,,False,-121.009551,37.75055,2023-09-22
10029012,Hike,Overnight,,False,-120.805419,37.784997,2023-08-10
236991,Water,Overnight,,False,-121.890479330305,43.8380112839932,2020-10-15
252281,Shelter,Overnight,Creek Pasture Group Site,False,-109.634189,38.170228,2022-09-13
251431,Tent,Overnight,A - Tent Only,False,-75.5445741949999,35.8000811420001,2022-04-11
251954,RV,Overnight,LOWER TWIN CAMPGROUND (VA),False,0.0,0.0,2022-06-29
10036862,Shelter,Day,,False,-88.77364,39.40816,2021-05-13
10036864,Shelter,Day,,False,-88.781,39.41104,2021-05-13
10036866,Shelter,Day,,False,-88.77647,39.41571,2021-05-13
10036879,Shelter,Day,,False,-88.62684,39.55117,2021-05-13
10036881,Shelter,Day,,False,-88.73621,39.45432,2021-05-13
251958,Tent,Overnight,Loop A,False,-114.221805033,38.990427336,2023-02-15
10036906,Shelter,Day,,False,-88.78068,39.40658,2021-05-13
10036909,Shelter,Day,,False,-88.6117,39.53339,2021-05-13
253502,Tent,Overnight,Rock Creek Campground (TN),False,0.0,0.0,2022-06-29
251956,Shelter,Day,Shenango Lake Mahaney Spruce Cove Trails End Rolling Meadows Skyline Picnic Shelters,False,-80.460491,41.270553,2022-06-29
10038994,Tent,Overnight,,True,-116.939492302982,48.5559797046963,2020-10-15
233263,Water,Overnight,Cedar,False,-116.87533,48.5482570000001,2021-01-20
233264,Water,Overnight,West Shores,False,-116.904167,48.5655390000001,2021-01-20
10039887,Tent,Overnight,A,False,-121.110083037,39.4287982600001,2020-10-15
10039993,Water,Overnight,A,False,-121.124268903,39.4325334270001,2020-10-15
10040022,Water,Overnight,A,False,-121.165553354,39.4696527130001,2020-10-15
258667,RV,Overnight,A,False,-82.145890755,35.8154908020001,2022-11-16
10040524,RV,Overnight,,False,-96.247271,36.149894,2022-08-18
233410,Shelter,Day,,True,0.0,0.0,2022-11-03
10040545,Shelter,Day,,False,0.0,0.0,2022-06-29
10040547,Hike,Overnight,,False,-72.947757,43.048035,2023-06-13
10040565,Cabin,Overnight,N/A,False,-112.603544,47.0863936,2020-10-15
10040567,Shelter,Day,Knightville Picnic Area,True,0.0,0.0,2022-06-29
10040589,Cabin,Overnight,N/A,False,-112.584123229526,46.7924494816551,2020-10-15
10040591,RV,Overnight,Main Loop,True,-107.03256,38.91403,2020-10-15
233598,Shelter,Overnight,,False,0.0,0.0,2022-04-19
10041495,Tent,Overnight,,False,-96.29116,35.952875,2022-08-16
10045243,Cabin,Overnight,Highland Beach Suites,True,-70.072840216,42.0449250720001,2022-05-10
10045245,Cabin,Overnight,Highland Beach Suites,True,-70.072767256,42.0448718480001,2022-05-10
10045247,Cabin,Overnight,Highland Beach Suites,True,-70.072689512,42.0448168290001,2022-05-10
10046288,RV,Overnight,Upper End,False,-89.730706,34.421509,2021-11-15
10046915,Tent,Overnight,Lower,False,0.0,0.0,2022-06-01
10046933,Hike,Overnight,A,False,-118.529896794025,35.5747788330389,2022-05-25
273309,Tent,Overnight,Front Loop,False,-123.6622102,43.98579979,2023-07-11
10046994,Picnic,Day,BEAVR,False,0.0,0.0,2021-01-05
10047052,Picnic,Day,CARD,False,0.0,0.0,2020-10-15
10047080,Picnic,Day,CHOKE,False,0.0,0.0,2020-10-15
10047085,RV,Overnight,,True,0.0,0.0,2022-12-11
233479,Shelter,Day,Overlook,False,0.0,0.0,2020-10-15
10048117,Picnic,Overnight,SHENOAH,False,0.0,0.0,2021-04-13
10048193,Picnic,Day,DEWITT,False,0.0,0.0,2020-10-15
10048964,Tent,Overnight,Group Use Area,False,-114.802880617,36.0355584000001,2022-04-25
10048970,Shelter,Day,Barre Falls Picnic Area,False,-72.023392,42.427326,2022-08-10
258992,Tent,Overnight,,False,-86.237345885,37.2019466580001,2022-06-14
10048983,Hike,Overnight,White Oak,False,-86.0502809229999,37.2164842490001,2021-07-27
10048998,Hike,Overnight,,False,-120.7136273,37.81139873,2023-09-22
250850,Horseback,Overnight,Rockhaven Park Equestrian Campground,False,-95.375342,38.891197,2022-08-05
10049020,Tent,Overnight,RedBridge,True,0.0,0.0,2020-10-15
10049270,Tent,Overnight,A,False,0.0,0.0,2021-07-03
10049272,RV,Overnight,,False,-89.79910765,34.40604943,2021-12-09
10049273,Shelter,Overnight,,False,-108.481474267702,34.1376886410354,2021-05-22
10050271,Shelter,Day,,False,0.0,0.0,2021-04-25
10050273,RV,Overnight,West End Loop,False,0.0,0.0,2022-05-06
232024,Tent,Overnight,BOX2,False,0.0,0.0,2022-09-27
10050743,Tent,Overnight,1,False,0.0,0.0,2021-02-05
10052147,RV,Overnight,A,False,0.0,0.0,2022-09-01
10052157,Tent,Overnight,A,False,-93.508715,32.702247,2021-05-13
10052192,Tent,Overnight,A,False,-93.448152,32.368113,2021-05-13
10052227,RV,Overnight,RV,False,-108.488862226749,34.1371911645692,2021-06-15
10053793,RV,Overnight,A,False,-95.582282,33.837773,2021-05-13
232615,RV,Overnight,KENDALL ANNEX,False,0.0,0.0,2021-12-09
234053,RV,Overnight,Loop C,False,0.0,0.0,2022-11-15
10049434,RV,Overnight,A,False,-94.169729,35.438939,2022-05-19
10060225,RV,Overnight,Main Loop,False,-89.790571,34.126431,2021-12-09
10060244,Tent,Overnight,CRESCENT LAKE (OR),False,0.0,0.0,2021-03-19
10060248,Picnic,Day,A,True,0.0,0.0,2023-05-25
10060263,RV,Overnight,Valley of Fires,False,0.0,0.0,2023-05-09
233425,Shelter,Day,BERRY BEND,True,-93.509938,38.211014,2023-06-07
10060885,Tent,Overnight,Meadow Loop,False,0.0,0.0,2021-06-22
274414,Tent,Overnight,A,False,0.0,0.0,2023-03-08
234054,RV,Overnight,Lower Loop,False,0.0,0.0,2022-11-08
258852,Tent,Overnight,Tent Area,False,0.0,0.0,2022-01-16
258851,Tent,Overnight,Tent Loop,False,0.0,0.0,2022-01-16
251946,Tent,Overnight,2,False,-79.441259,41.480125,2022-06-29
258815,Hike,Overnight,Hawk Campground,False,0.0,0.0,2020-10-15
10067346,Hike,Overnight,Haypress Campground,False,0.0,0.0,2020-10-15
233666,Tent,Overnight,WCOV,False,0.0,0.0,2020-10-15
10068512,Tent,Overnight,Cottonwood Cove,True,-114.687358367,35.4943385500001,2021-09-22
10068557,Tent,Overnight,A,False,0.0,0.0,2021-06-02
233679,Shelter,Day,Pavilion ,False,0.0,0.0,2022-05-20
10075403,Cabin,Overnight,Cabin,False,-139.774634194,59.8797541320001,2021-05-12
10075441,Water,Overnight,Deer Island,False,-80.039766,36.806766,2020-10-15
259309,Tent,Overnight,Walk-in,False,-110.627642,44.281152,2023-03-04
10077451,RV,Overnight,Dru Barner CG,False,-120.7639305,38.9429327100001,2023-04-12
10077501,Shelter,Overnight,Panchuela,False,-105.664160170918,35.8303553269061,2021-07-17
252970,Tent,Overnight,Antietam Creek Campsite,False,-77.748339652,39.420629702,2022-06-29
234674,Tent,Overnight,Group-Loop,False,-68.309272376,44.245278565,2022-11-02
234629,Cabin,Overnight,CHIEF COVE,False,-153.9021,57.70794,2020-10-15
251973,Hike,Overnight,GULL POINT CAMPSITE on GRAND ISLAND,False,-86.6968055556,46.5534305556001,2022-06-29
233409,Shelter,Day,NFOR,True,-86.437601,37.631152,2022-11-03
10085599,Shelter,Overnight,Campground,False,-113.643944,37.377819,2021-07-28
202162,Shelter,Overnight,Red Cliffs Campground,False,0.0,0.0,2021-07-29
10086109,RV,Overnight,Upper Loop,False,-113.793284,36.949961,2022-04-29
232549,Shelter,Day,Choctaw,False,0.0,0.0,2021-05-31
232567,Shelter,Day,Dam Site,False,0.0,0.0,2022-10-06
232573,Shelter,Day,Devils Fork,False,0.0,0.0,2021-05-31
232597,Shelter,Day,Heber Springs,False,-92.075914,35.502803,2021-05-31
232605,Shelter,Day,Hill Creek,False,0.0,0.0,2021-10-10
232613,Shelter,Day,John F Kennedy,False,0.0,0.0,2022-03-09
232649,Shelter,Day,Narrows,False,0.0,0.0,2022-09-17
232659,Shelter,Day,Old Highway 25,False,0.0,0.0,2022-09-22
232703,Shelter,Day,Shiloh,False,0.0,0.0,2022-10-06
232713,Shelter,Day,Sugar Loaf,False,0.0,0.0,2022-09-15
232569,Shelter,Day,GROU,False,-87.872187,32.511017,2022-06-29
254086,Shelter,Day,Turkey Creek Day Use Area,True,-91.525202,41.7224,2022-06-29
255240,RV,Overnight,N/A,False,0.0,0.0,2022-03-29
233644,Tent,Overnight,SUSQUEHANNOCK,False,0.0,0.0,2023-04-09
254085,Shelter,Day,Sugar Bottom Day Use Area,True,-91.557074,41.759013,2022-06-29
10094038,Shelter,Day,Pink House Day Use Pavilions,True,-116.348055,46.502222,2022-06-25
234120,Tent,Overnight,HRWD,False,-100.301308570193,41.9006403037573,2021-01-27
10098548,Shelter,Day,,False,-89.793535,34.401371,2021-02-01
10098551,Shelter,Day,Cypress,False,-89.807701,34.40065,2022-05-12
10098553,Shelter,Day,Engineer,False,-89.784481,34.396535,2021-02-01
10098555,Shelter,Day,Paradise,False,-89.79848,34.403628,2021-02-01
10098558,Shelter,Day,Outlet,False,-89.791778,34.400151,2021-02-01
10098560,Shelter,Day,Outlet Channel,False,-89.907069,34.157566,2021-02-01
254079,Shelter,Day,Tailwater West Day Use Area,True,-91.529734,41.721837,2022-06-29
258831,RV,Overnight,A,False,-110.643038072703,43.9054585613076,2023-09-22
10099358,Shelter,Day,Hickory Ridge,False,-89.896646,34.159676,2022-06-20
247664,Tent,Overnight,Jenny Lake,False,-110.7213268,43.75425914,2021-07-21
247785,Tent,Overnight,Main Road,False,-110.687973935,44.0055802815,2022-07-18
10099484,Shelter,Day,McCurdy Point,False,-89.898693,34.159176,2021-02-01
10099489,Shelter,Day,,False,-89.908501,34.150924,2022-04-26
10099575,Cabin,Overnight,Tent Village,False,-110.635694576848,43.9046046114165,2022-06-29
254081,Shelter,Day,East Overlook Day Use Area,True,-91.527093,41.724088,2022-06-29
233442,Shelter,Day,Buffalo Park,False,0.0,0.0,2023-05-22
233610,Shelter,Day,Rudds Creek Rec Area,True,0.0,0.0,2023-05-23
233545,Shelter,Day,Longwood Park,False,0.0,0.0,2023-05-23
10101311,Shelter,Day,Belmont Park,False,-87.880678,32.554883,2022-05-25
10101313,Shelter,Day,Finches Ferry,False,-87.835339,32.842577,2022-05-25
10101315,Shelter,Day,Lock 6,False,-87.790599,32.709734,2022-05-25
10101317,Shelter,Day,Lock 8,False,-87.780664,32.895272,2022-05-25
10101319,Shelter,Day,Hilltop Shelter,False,-87.420521,33.273526,2021-06-09
10101322,Shelter,Day,Spillway Falls,False,-87.886899,32.520408,2022-05-25
10101324,Tent,Overnight,Stehekin,False,-120.714055204,48.348504115,2021-05-12
10101333,Tent,Overnight,Stehekin,False,-120.654415224,48.307874111,2021-05-22
10101344,Tent,Overnight,Stehekin,False,-120.657925222,48.313304111,2021-05-22
10101351,Shelter,Day,Dam Area Central,False,-89.777559,33.830438,2021-05-13
10101354,Shelter,Day,Grenada Landing,False,-89.764097,33.801626,2021-05-13
10101356,Shelter,Day,South Abutment A,False,-89.777485,33.806516,2021-05-13
10101360,Shelter,Day,South Abutment B,False,-89.773472,33.809619,2021-05-13
10101398,Shelter,Day,Picnic Vista,False,-121.933261,47.143821,2022-04-27
10103087,Shelter,Day,A,False,-93.192091,34.568949,2021-05-13
10103089,Shelter,Day,A,False,-93.214607,34.570359,2021-05-13
10103111,View,Overnight,Meadow Peak Lookout,False,-114.989084475588,48.0796557753607,2022-11-03
246855,Hike,Overnight,CCNC,False,0.0,0.0,2022-10-16
10103157,Shelter,Day,Island Creek Park,True,-78.468231,36.549782,2023-05-23
10103159,Shelter,Day,Ivy Hill Park,False,-78.417038,36.575477,2023-05-23
10103161,Horseback,Overnight,A,False,0.0,0.0,2023-01-06
10103189,Shelter,Day,Palmer Point Park,False,-78.288897,36.56204,2023-05-23
10103191,Shelter,Day,,False,-78.299233,36.601808,2023-05-23
10107303,Shelter,Day,A,False,-85.200283,32.936933,2021-02-25
10107305,Shelter,Day,A,False,-85.172567,33.002283,2021-02-25
10107307,Shelter,Day,A,False,-85.163333,32.922033,2022-03-10
10107310,Shelter,Day,A,False,-85.06355,33.094033,2021-02-25
258832,Cabin,Overnight,100s,False,-110.667814,44.105138,2022-04-23
10107534,Shelter,Day,Grassy Creek Park,False,-78.596446,36.537828,2023-05-23
