FacilityID,CampsiteLongitude,CampsiteLatitude
232709,-97.264983,31.586164
252470,-78.717593177,38.235216664
10001451,-93.345717,36.040823
259242,0.0,0.0
233478,-89.3544,38.616093
10003508,-85.181022,32.917917
258887,0.0,0.0
10004589,-85.174451,32.992751
10004592,-85.191762,32.917472
10004594,-85.177324,33.028136
10004596,-85.150565,32.959214
10004598,-85.119329,33.058737
10004600,-85.205619,32.991655
10004602,-85.229038,32.997826
10004604,-85.102748,33.075072
10004657,-70.074826,41.958112
10004659,-69.948381,41.847716
10004661,-69.978996,41.922798
10004663,-69.977201,41.926892
10004665,-69.993971,41.958068
10004667,-69.977154,41.925892
10004919,0.0,0.0
10005279,0.0,0.0
233462,-95.70761,38.502001
10005349,0.0,0.0
10005351,0.0,0.0
10005354,-83.536787,38.117106
233834,0.0,0.0
10005358,-79.3937,39.7566
10005414,0.0,0.0
234544,0.0,0.0
10005977,0.0,0.0
233695,0.0,0.0
10006149,0.0,0.0
10006204,0.0,0.0
10006206,0.0,0.0
10007130,-77.359266832,38.563596527
246027,0.0,0.0
249981,-93.10706452,48.60219791
10007156,0.0,0.0
233809,-83.37033056,37.27164444
10007207,0.0,0.0
232572,-85.911351,36.30303
233379,-77.41519909,38.601708906
251969,-86.6461638889,46.4711194444
251544,-77.21752001,38.976584722
10009675,0.0,0.0
232746,-92.146548,34.695727
10011396,-82.7414021014,35.3811441578
251963,0.0,0.0
252968,-78.385331197,39.623940035
251942,-88.5283033628,45.5130174284
251833,-68.058301614,44.380578006
251976,-86.6519027778,46.4771194444
251974,-86.6823,46.4957638889
10028678,0.0,0.0
233841,-91.7846334965,47.7573254544
232430,0.0,0.0
10028991,0.0,0.0
251431,-75.544574195,35.800081142
251954,0.0,0.0
10036862,-88.77364,39.40816
10036864,-88.781,39.41104
10036866,-88.77647,39.41571
10036879,-88.62684,39.55117
10036881,-88.73621,39.45432
10036906,-88.78068,39.40658
10036909,-88.6117,39.53339
253502,0.0,0.0
251956,-80.460491,41.270553
258667,-82.145890755,35.815490802
10040524,-96.247271,36.149894
233410,0.0,0.0
10040545,0.0,0.0
10040547,-72.947757,43.048035
10040567,0.0,0.0
233598,0.0,0.0
10041495,-96.29116,35.952875
10045243,-70.072840216,42.044925072
10045245,-70.072767256,42.044871848
10045247,-70.072689512,42.044816829
10046288,-89.730706,34.421509
10046915,0.0,0.0
10046994,0.0,0.0
10047052,0.0,0.0
10047080,0.0,0.0
10047085,0.0,0.0
233479,0.0,0.0
10048117,0.0,0.0
10048193,0.0,0.0
10048970,-72.023392,42.427326
258992,-86.237345885,37.201946658
10048983,-86.050280923,37.216484249
250850,-95.375342,38.891197
10049020,0.0,0.0
10049270,0.0,0.0
10049272,-89.79910765,34.40604943
10050271,0.0,0.0
10050273,0.0,0.0
232024,0.0,0.0
10050743,0.0,0.0
10052147,0.0,0.0
10052157,-93.508715,32.702247
10052192,-93.448152,32.368113
10053793,-95.582282,33.837773
232615,0.0,0.0
234053,0.0,0.0
10049434,-94.169729,35.438939
10060225,-89.790571,34.126431
10060244,0.0,0.0
10060248,0.0,0.0
10060263,0.0,0.0
233425,-93.509938,38.211014
10060885,0.0,0.0
274414,0.0,0.0
234054,0.0,0.0
258852,0.0,0.0
258851,0.0,0.0
251946,-79.441259,41.480125
258815,0.0,0.0
10067346,0.0,0.0
233666,0.0,0.0
10068557,0.0,0.0
233679,0.0,0.0
10075441,-80.039766,36.806766
252970,-77.748339652,39.420629702
234674,-68.309272376,44.245278565
251973,-86.6968055556,46.5534305556
233409,-86.437601,37.631152
202162,0.0,0.0
232549,0.0,0.0
232567,0.0,0.0
232573,0.0,0.0
232597,-92.075914,35.502803
232605,0.0,0.0
232613,0.0,0.0
232649,0.0,0.0
232659,0.0,0.0
232703,0.0,0.0
232713,0.0,0.0
232569,-87.872187,32.511017
254086,-91.525202,41.7224
255240,0.0,0.0
233644,0.0,0.0
254085,-91.557074,41.759013
10098548,-89.793535,34.401371
10098551,-89.807701,34.40065
10098553,-89.784481,34.396535
10098555,-89.79848,34.403628
10098558,-89.791778,34.400151
10098560,-89.907069,34.157566
254079,-91.529734,41.721837
10099358,-89.896646,34.159676
10099484,-89.898693,34.159176
10099489,-89.908501,34.150924
254081,-91.527093,41.724088
233442,0.0,0.0
233610,0.0,0.0
233545,0.0,0.0
10101311,-87.880678,32.554883
10101313,-87.835339,32.842577
10101315,-87.790599,32.709734
10101317,-87.780664,32.895272
10101319,-87.420521,33.273526
10101322,-87.886899,32.520408
10101351,-89.777559,33.830438
10101354,-89.764097,33.801626
10101356,-89.777485,33.806516
10101360,-89.773472,33.809619
10103087,-93.192091,34.568949
10103089,-93.214607,34.570359
246855,0.0,0.0
10103157,-78.468231,36.549782
10103159,-78.417038,36.575477
10103161,0.0,0.0
10103189,-78.288897,36.56204
10103191,-78.299233,36.601808
10107303,-85.200283,32.936933
10107305,-85.172567,33.002283
10107307,-85.163333,32.922033
10107310,-85.06355,33.094033
10107534,-78.596446,36.537828
10107536,0.0,0.0
246037,0.0,0.0
232303,0.0,0.0
10110659,0.0,0.0
10110661,0.0,0.0
10110663,0.0,0.0
10113994,0.0,0.0
10114001,0.0,0.0
10114378,0.0,0.0
10116518,0.0,0.0
10116520,0.0,0.0
10116522,0.0,0.0
10116524,0.0,0.0
10116526,0.0,0.0
231931,0.0,0.0
232075,0.0,0.0
10119409,0.0,0.0
10119467,-89.826405,34.162615
10119469,-89.789249,34.126939
10119471,-89.906566,34.137622
10119477,-89.887317,34.164776
10119479,-89.764494,34.141655
233350,0.0,0.0
10120780,-89.709808,34.427285
10120783,-89.778373,33.842874
10120785,-89.585486,34.493938
10120787,-89.735758,34.419017
10120789,-93.265696,34.580644
10120791,-93.346535,34.542327
10120794,-93.191197,34.570504
10120796,-93.4708,34.56858
10122577,-90.1198619,34.7387067
10122580,-90.1130012,34.7729698
10122722,-78.599103,41.561053
10044710,0.0,0.0
10124502,0.0,0.0
246864,0.0,0.0
10124953,0.0,0.0
10128465,-85.782,36.021
10128487,0.0,0.0
258706,0.0,0.0
10130529,0.0,0.0
10130532,-98.20364,29.87311
10132301,-80.0871999,41.6910145
246796,0.0,0.0
10134015,0.0,0.0
10134109,0.0,0.0
10134111,0.0,0.0
233165,-90.3946046669,48.0380977451
255177,-93.957387,35.690772
255202,-79.504468,40.716247
10145499,-81.7058447097,34.4480974926
10145521,-81.4502729383,34.6992185572
10145539,-68.797909978,46.113810539
233257,0.0,0.0
10147280,0.0,0.0
10149034,-72.9900306,40.6900694
246814,0.0,0.0
10078979,0.0,0.0
256367,0.0,0.0
10150477,-84.853681,30.743826
10150481,-84.665784,30.787755
10150483,-84.661542,30.847136
10150485,-84.850689,30.836656
10153246,0.0,0.0
233267,0.0,0.0
10156151,-49.0,42.0
10157316,0.0,0.0
10157490,0.0,0.0
233790,0.0,0.0
234049,-96.959962807,34.500979822
10158631,-79.356186,39.796597
246894,-81.113513422,25.867844538
10159060,-93.200346,34.268512
10159062,-93.185971,34.260894
10159064,-93.109364,34.236428
10159066,-93.098961,34.177308
10159068,-93.201761,34.289165
10159159,-88.7041333333,31.3399166667
10159257,-85.267202,37.222438
255286,-83.981401,34.392037
10161357,0.0,0.0
234374,0.0,0.0
255284,-78.077254,40.379779
255285,-78.231286,40.242582
255282,-78.170995,40.310544
255281,-78.162913,40.376628
10167549,-92.082542,32.699028
10168556,-73.100277,40.656666
10172170,0.0,0.0
233636,0.0,0.0
10174884,-74.769748894,41.326459767
232700,0.0,0.0
10177518,-97.076179,38.379567
10177495,-86.947814,41.701817
10177496,-87.001699,41.682476
234733,0.0,0.0
14549,0.0,0.0
272276,0.0,0.0
256346,0.0,0.0
259170,-77.395726251,38.550706125
10185298,0.0,0.0
10187106,-87.25627,32.05044
10187108,-87.38996,32.11549
10187123,-87.30843,32.05881
10187125,-86.675783,32.3491
10187129,-87.54981,31.62075
10187133,-87.39113,32.11452
234489,0.0,0.0
232707,0.0,0.0
256368,-93.680885,37.603249
256369,-93.791202,37.679801
256349,-87.196148,36.316209
10190876,0.0,0.0
246878,0.0,0.0
10190963,0.0,0.0
10191039,0.0,0.0
122390,0.0,0.0
10197849,0.0,0.0
10199721,0.0,0.0
10199771,0.0,0.0
256934,-81.2594722222,36.7587055556
256935,-81.0645472222,36.8358472222
259345,0.0,0.0
261322,0.0,0.0
261700,0.0,0.0
10210091,0.0,0.0
10210093,0.0,0.0
10210095,0.0,0.0
10210097,0.0,0.0
10210100,0.0,0.0
232184,0.0,0.0
261793,-81.695746,26.720756
10214301,0.0,0.0
264293,-68.653144,44.028185
10214609,0.0,0.0
234031,0.0,0.0
10224635,-78.303329,36.599438
10227410,-96.593636,39.247244
251865,0.0,0.0
10228626,0.0,0.0
10228628,0.0,0.0
10228630,0.0,0.0
10228632,0.0,0.0
10228741,0.0,0.0
10228743,0.0,0.0
10228745,0.0,0.0
10228747,0.0,0.0
10229798,0.0,0.0
233624,0.0,0.0
10232106,0.0,0.0
10234870,-89.84438177,34.12661654
10234885,-89.85394953,34.16122622
10236797,-89.762915,33.80252
10237974,0.0,0.0
10238165,-76.397064,38.308046
10238170,-76.398014,38.306643
10239229,-92.977561,41.369715
10239231,-92.980313,41.367044
10239233,0.0,0.0
10239284,0.0,0.0
10241514,0.0,0.0
10241519,0.0,0.0
10241521,0.0,0.0
10241554,0.0,0.0
10241557,0.0,0.0
10241626,0.0,0.0
10241695,0.0,0.0
10241754,0.0,0.0
10241801,0.0,0.0
10241839,0.0,0.0
10241885,0.0,0.0
10241903,0.0,0.0
10241911,0.0,0.0
10241919,0.0,0.0
10241936,0.0,0.0
10241987,0.0,0.0
233510,0.0,0.0
10246274,0.0,0.0
10246293,0.0,0.0
10246295,0.0,0.0
233609,0.0,0.0
10249158,0.0,0.0
10249189,-76.4665,38.3439
10250704,-83.47043,37.34374
10250708,0.0,0.0
251949,0.0,0.0
251947,0.0,0.0
232441,-83.312493795,35.561455723
232437,-83.109183156,35.752307028
232438,-83.206550834,35.753053444
10274250,-93.702414,41.70853
232493,0.0,0.0
232439,-83.208954018,35.757538422
232434,-83.073790146,35.65099388
234779,0.0,0.0
232435,-83.438662308,35.460488069
234580,0.0,0.0
232436,-83.586296434,35.659981486
272096,0.0,0.0
272092,0.0,0.0
272093,0.0,0.0
272094,-91.533962,41.722371
232481,-83.298031893,35.542799601
232483,-83.212084009,35.615597688
272185,0.0,0.0
272186,0.0,0.0
272229,0.0,0.0
272277,0.0,0.0
272304,0.0,0.0
272305,0.0,0.0
272303,0.0,0.0
272302,0.0,0.0
272301,0.0,0.0
273344,-86.5441666667,46.1716666667
273354,0.0,0.0
273359,0.0,0.0
273362,0.0,0.0
273345,-89.3377168008,46.2420615032
273380,0.0,0.0
273377,0.0,0.0
273757,0.0,0.0
273756,0.0,0.0
273760,0.0,0.0
273778,-71.6515160473,44.0129311766
273784,-88.7639602448,46.0773458039
232810,0.0,0.0
273821,-83.111693832,35.749585153
273841,-90.6036309193,36.9783373458
273848,-83.173822593,35.564825606
273844,0.0,0.0
273843,0.0,0.0
233412,0.0,0.0
232514,-82.471198,33.644641
232646,-96.662293,32.25895
233595,-96.645393,33.87647
232174,-71.021601,44.267405
233783,-89.266371,38.656923
234559,-97.238604,31.533016
